source,target
015,039
015,041
041,039
019,041
041,020
020,016
018,068
020,022
022,040
022,045
045,044
044,047
047,023
047,037
037,023
037,091
007,091
091,084
084,072
072,075
075,092
092,078
092,077
082,092
082,094
089,094
089,090
090,094
045,026
034,048
048,109
048,081
081,109
081,097
097,076
076,085
076,086
085,086
026,013
013,042
042,058
058,052
058,056
058,055
058,057
056,052
056,055
052,055
055,059
055,057
057,059
059,052
059,053
053,011
011,051
051,059
059,051
059,054
057,054
057,025
057,035
035,025
025,046
105,046
046,030
030,017
050,029
135,152
152,159
152,151
152,158
152,146
151,132
132,158
158,151
158,146
158,159
158,151
146,151
159,146
010,028
028,021
028,027
021,027
008,009
005,012
012,080
122,116
108,104
118,119
119,128
128,121
121,103
128,129
119,117
117,129
117,111
111,129
129,119
113,088
088,110
110,113
088,087
079,070
070,088
106,115
115,120
120,106
115,114
114,155
148,155
148,163
148,157
163,157
163,165
162,163
162,165
137,162
137,153
143,162
153,165
165,157
157,144
144,150
150,149
149,138
138,139
139,149
156,160
161,160
156,161
161,141
161,164
164,141
164,160
160,166
164,166
166,124
124,123
123,125
125,166
124,132
112,126
126,127
126,130
126,131
126,132
127,130
127,131
127,132
130,131
130,132
131,132
093,095
093,096
093,098
093,099
093,100
095,096
095,098
095,099
095,100
096,098
096,099
096,100
098,099
098,100
099,100
125,124
125,127
125,098
125,095
038,043
043,031
031,036
036,024
024,043
036,033
033,049
033,014
014,064
